transaction_date,customer_id,region,product_category,units_sold,unit_price,revenue,high_value
2024-02-10 00:00:00,2167,West,Beauty,5,20,103.51218650614241,0
2024-03-16 00:00:00,2091,north,Clothng,1,60,24.896229017888146,0
2024-09-25 00:00:00,2577,,Home,13,40,533.6475371343209,0
2024-12-21 00:00:00,1799,north,Clothng,2,40,115.1215551836028,0
2024-08-08 00:00:00,2394,West,Beauty,8,40,305.98820149286945,0
2023-07-01 00:00:00,1554,North,Home,14,40,556.3130377711137,0
2024-12-25 00:00:00,1512,South,Sports,2,60,130.23940800504843,0
2023-10-25 00:00:00,1856,,Clothng,19,40,752.333595808505,1
2024-08-06 00:00:00,2142,North,Sports,17,60,1020.5613856965949,1
2024-02-03 00:00:00,2762,North,Clothing,2,60,171.44047004700997,0
2023-10-29 00:00:00,2891,West,Sports,2,60,,0
2023-04-28 00:00:00,2692,north,Beauty,unknown,60,887.9823005986148,1
2023-05-31 00:00:00,1546,South,Home,9,40,365.43436120519027,0
2024-10-09 00:00:00,1093,,Home,5,150,779.9224408409121,1
2024-02-10 00:00:00,2003,,Sports,12,60,710.6994326499116,1
2023-10-18 00:00:00,2481,North,Electronics,10,20,168.43865116426264,0
2024-01-05 00:00:00,1375,,Clothing,6,100,555.3251109954982,0
2024-07-19 00:00:00,2568,,Clothng,2,60,95.03843107574272,0
2024-12-01 00:00:00,1665,South,Home,5,20,,0
2024-11-07 00:00:00,2080,West,Home,13,60,760.9990530542632,1
2024-05-30 00:00:00,2242,West,Clothing,1,100,112.92296297153672,0
2023-10-02 00:00:00,1085,West,Home,14,40,595.1248843910969,0
2023-09-30 00:00:00,1245,West,Beauty,7,100,741.007593470807,1
2023-03-02 00:00:00,1789,north,Clothing,1,20,14.991139308390633,0
2023-07-05 00:00:00,2308,North,Sports,8,60,516.0302110345681,0
2023-06-27 00:00:00,1382,north,Clothing,11,40,465.146250942245,0
2024-03-25 00:00:00,2880,West,Clothing,12,150,1793.5774382810826,1
invalid_date,2012,South,Clothing,19,100,1897.5325420878405,1
invalid_date,2782,North,Electronics,6,40,227.2396225881991,0
2024-03-12 00:00:00,2833,East,Home,10,20,155.5484141620654,0
2023-04-19 00:00:00,1302,West,Clothng,4,20,64.94114310584337,0
2023-03-25 00:00:00,1213,South,Beauty,unknown,150,2262.715152650659,1
2024-03-30 00:00:00,1776,West,Beauty,11,60,674.2820425753246,0
2023-07-31 00:00:00,2024,North,Sports,13,150,1970.9088641860005,1
2023-01-16 00:00:00,1136,North,Beauty,16,100,1624.4131734362097,1
2024-06-23 00:00:00,1961,North,Electronics,15,40,606.7137477498449,0
2023-08-28 00:00:00,1969,West,Clothing,1,60,47.94151375604274,0
2024-10-29 00:00:00,1000,West,Beauty,15,20,306.27850811559256,0
2024-11-22 00:00:00,2235,South,Beauty,5,60,287.82655104061615,0
2023-10-05 00:00:00,1348,north,Electronics,19,100,1932.780905897085,1
2024-02-27 00:00:00,2681,,Electronics,8,20,159.92691128399014,0
2023-12-30 00:00:00,1704,,Home,18,60,1091.2402731462294,1
2024-09-25 00:00:00,1180,north,Sports,8,100,786.7441633534785,1
2023-10-26 00:00:00,1864,north,Clothing,10,150,1466.6591202786892,1
2023-03-29 00:00:00,1036,North,Clothing,unknown,150,1814.6515140957686,1
2023-02-13 00:00:00,1468,West,Clothing,4,100,420.0162743861751,0
2023-04-05 00:00:00,1509,South,Clothing,10,40,414.58149650524996,0
2024-06-01 00:00:00,2503,,Sports,unknown,150,2554.416065216422,1
2023-04-21 00:00:00,2617,north,Sports,11,150,1640.7563772920153,1
